"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"204","CD22","P20273","ACOXL","ENSG00000153093"
"205","CD244","Q9BZW8","ST3GAL3","ENSG00000126091"
"206","CD27","P26842","TDRD5","ENSG00000162782"
"207","CD274","Q9NZQ7","FCGR2A","ENSG00000143226"
"208","CD276","Q5ZPR3","SNX17","ENSG00000115234"
"209","CD28","P10747","ST3GAL3","ENSG00000126091"
"210","CD2AP","Q9Y5K6","ARHGEF3","ENSG00000163947"
"211","CD300C","Q08708","NPHS2","ENSG00000116218"
"212","CD300E","Q496F6",NA,"ENSG00000288880"
"213","CD300LF","Q8TDQ1","NPHS2","ENSG00000116218"
"214","CD300LG","Q6UXG3","NPHS2","ENSG00000116218"
"215","CD302","Q8IX05","CD302","ENSG00000241399"
"216","CD33","P20138","MGAT5","ENSG00000152127"
"217","CD34","P28906","CD34","ENSG00000174059"
"218","CD38","P28907","CD38","ENSG00000004468"
"219","CD4","P01730","HLA-DQA1","ENSG00000196735"
"220","CD40","P25942","ARHGEF3","ENSG00000163947"
"221","CD40LG","P29965","CSRNP1","ENSG00000144655"
"222","CD46","P15529","NPHS2","ENSG00000116218"
"223","CD48","P09326","ST3GAL3","ENSG00000126091"
"224","CD5","P06127","IL7R","ENSG00000168685"
"225","CD55","P08174","AL596218.1","ENSG00000237074"
"226","CD58","P19256","CD58","ENSG00000116815"
"227","CD59","P13987","CFHR3","ENSG00000116785"
"228","CD6","P30203","DNMT3A","ENSG00000119772"
"229","CD63","P08962","PDIA5","ENSG00000065485"
"230","CD69","Q07108","ARHGEF3","ENSG00000163947"
"231","CD70","P32970","FGGY-DT","ENSG00000224609"
"232","CD74","P04233","CD74","ENSG00000019582"
"233","CD79B","P40259","AXDND1","ENSG00000162779"
"234","CD83","Q01151","NSL1","ENSG00000117697"
"235","CD84","Q9UIB8","CD84","ENSG00000066294"
"236","CD8A","P01732","CD8A","ENSG00000153563"
"237","CD93","Q9NPY3","NPHS2","ENSG00000116218"
"238","CD99","P14209","GCKR","ENSG00000084734"
"239","CD99L2","Q8TCZ2","APOB","ENSG00000084674"
"240","CDC27","P30260","ARHGEF3","ENSG00000163947"
"241","CDC37","Q16543","ARHGEF3","ENSG00000163947"
"242","CDCP1","Q9H5V8","CDCP1","ENSG00000163814"
"243","CDH1","P12830","ABO","ENSG00000175164"
"244","CDH15","P55291","VPS25P1","ENSG00000226755"
"245","CDH17","Q12864","NOTCH2","ENSG00000134250"
"246","CDH2","P19022","ACTR3","ENSG00000115091"
"247","CDH3","P22223",NA,NA
"248","CDH5","P33151","FCGR2C","ENSG00000244682"
"249","CDH6","P55285",NA,NA
"250","CDHR1","Q96JP9","FLG","ENSG00000143631"
"251","CDHR2","Q9BYE9",NA,NA
"252","CDHR5","Q9HBB8","F13B","ENSG00000143278"
"253","CDKN1A","P38936","ARHGEF3","ENSG00000163947"
"254","CDKN2D","P55273","ARHGEF3","ENSG00000163947"
"255","CDNF","Q49AH0","CDNF","ENSG00000185267"
"256","CDON","Q4KMG0","MRC1","ENSG00000260314"
"257","CDSN","Q15517",NA,NA
"258","CEACAM1","P13688",NA,NA
"259","CEACAM21","Q3KPI0","ATXN2","ENSG00000204842"
"260","CEACAM3","P40198","IGKV1D-35","ENSG00000232747"
"261","CEACAM5","P06731","THADA","ENSG00000115970"
"262","CEACAM8","P31997","CSF3R","ENSG00000119535"
"263","CEBPB","P17676","MED24","ENSG00000008838"
"264","CELA3A","P09093","CELA3B","ENSG00000219073"
"265","CEP20","Q96NB1","ARHGEF3","ENSG00000163947"
"266","CEP43","O95684",NA,NA
"267","CEP85","Q6P2H3","ZPLD2P","ENSG00000236155"
"268","CERT","Q9Y5P4","ARHGEF3","ENSG00000163947"
"269","CES1","P23141","GORAB","ENSG00000120370"
"270","CES2","O00748",NA,NA
"271","CES3","Q6UWW8","ARID1A","ENSG00000117713"
"272","CETN2","P41208","ARHGEF3","ENSG00000163947"
"273","CFC1","P0CG37","ADCY5","ENSG00000173175"
"274","CGA","P01215","CENPW","ENSG00000203760"
"275","CGREF1","Q99674","CGREF1","ENSG00000138028"
"276","CHAC2","Q8WUX2","ASB3","ENSG00000115239"
"277","CHGB","P05060",NA,NA
"278","CHI3L1","P36222","CHI3L1","ENSG00000133048"
"279","CHIT1","Q13231","CHIT1","ENSG00000133063"
"280","CHL1","O00533","ST3GAL3","ENSG00000126091"
"281","CHMP1A","Q9HD42","ARHGEF3","ENSG00000163947"
"282","CHRDL1","Q9BU40","B4GALNT3","ENSG00000139044"
"283","CHRDL2","Q6WN34","AC007690.1","ENSG00000233565"
"284","CIAPIN1","Q6FI81","ARHGEF3","ENSG00000163947"
"285","CKAP4","Q07065","NPHS2","ENSG00000116218"
"286","CKMT1A_CKMT1B","P12532","TBC1D8","ENSG00000204634"
"287","CLC","Q05315","USP34","ENSG00000115464"
"288","CLEC10A","Q8IUN9","NMD3","ENSG00000169251"
"289","CLEC11A","Q9Y240","DSTYK","ENSG00000133059"
"290","CLEC14A","Q86T13","SDC3","ENSG00000162512"
"291","CLEC1A","Q8NC01","NPHS2","ENSG00000116218"
"292","CLEC1B","Q9P126","PDIA5","ENSG00000065485"
"293","CLEC4A","Q9UMR7","FCGR3B","ENSG00000162747"
"294","CLEC4C","Q8WTT0","MIR4432HG","ENSG00000228590"
"295","CLEC4D","Q8WXI8","CSF3R","ENSG00000119535"
"296","CLEC4G","Q6UXB4",NA,NA
"297","CLEC5A","Q9NY25","CSF3R","ENSG00000119535"
"298","CLEC6A","Q6EIG7","RUNX3","ENSG00000020633"
"299","CLEC7A","Q9BXN2",NA,NA
"300","CLIP2","Q9UDT6",NA,"ENSG00000287815"
"301","CLMP","Q9H6B4","GCKR","ENSG00000084734"
"302","CLPS","P04118","AQP12B","ENSG00000185176"
"303","CLSPN","Q9HAW4","MGMT","ENSG00000170430"
"304","CLSTN1","O94985","ABO","ENSG00000175164"
"305","CLSTN2","Q9H4D0","RNU6-961P","ENSG00000200763"
"306","CLTA","P09496","TRIM58","ENSG00000162722"
"307","CLUL1","Q15846","RPS23P9","ENSG00000231586"
"308","CNDP1","Q96KN2","AC092991.1","ENSG00000244740"
"309","CNPY2","Q9Y2B0","SERPINA1","ENSG00000197249"
"310","CNPY4","Q8N129","ARHGEF3","ENSG00000163947"
"311","CNST","Q6PJW8","ARHGEF3","ENSG00000163947"
"312","CNTN1","Q12860",NA,NA
"313","CNTN2","Q02246","CNTN2","ENSG00000184144"
"314","CNTN3","Q9P232","ARID1A","ENSG00000117713"
"315","CNTN4","Q8IWV2","CNTN4","ENSG00000144619"
"316","CNTN5","O94779","GCKR","ENSG00000084734"
"317","CNTNAP2","Q9UHC6","SNX17","ENSG00000115234"
"318","COL18A1","P39060","GCKR","ENSG00000084734"
"319","COL1A1","P02452","PTPN22","ENSG00000134242"
"320","COL4A1","P02462","HGFAC","ENSG00000109758"
"321","COL6A3","P12111","COL6A3","ENSG00000163359"
"322","COL9A1","P20849","HFE","ENSG00000010704"
"323","COLEC12","Q5KU26","PRKAG2","ENSG00000106617"
"324","COMP","P49747","ADAMTS4","ENSG00000158859"
"325","COMT","P21964","ARHGEF3","ENSG00000163947"
"326","CORO1A","P31146","AC004917.1","ENSG00000243797"
"327","COX5B","P10606","OCIAD1","ENSG00000109180"
"328","CPA1","P15085","FAF1","ENSG00000185104"
"329","CPA2","P48052","CPA2","ENSG00000158516"
"330","CPB1","P15086","CSF1","ENSG00000184371"
"331","CPE","P16870","MSMO1","ENSG00000052802"
