"","exposure","id","outcome","nsnp","b","se","pval","what"
"171","CAD","ebi-a-GCST003116","CLUL1",39,-0.0499595971076821,0.0164496441356291,0.00238847751673926,"Outliers removed"
"172","CAD","ebi-a-GCST003116","CNTN1",42,-0.0333377575768721,0.0186460495821103,0.0737879411826035,"All"
"173","CAD","ebi-a-GCST003116","CNTN1",41,-0.0387874036475351,0.0176595067005726,0.0280630700195834,"Outliers removed"
"174","CAD","ebi-a-GCST003116","CNTN3",42,-0.0288891909981709,0.0179493740506987,0.107511029764436,"All"
"175","CAD","ebi-a-GCST003116","CNTN3",42,-0.0288891909981709,0.0179493740506987,0.107511029764436,"Outliers removed"
"176","CAD","ebi-a-GCST003116","CNTN4",42,-0.0700190981896361,0.0176909539433528,7.5610318229948e-05,"All"
"177","CAD","ebi-a-GCST003116","CNTN4",42,-0.0700190981896361,0.0176909539433528,7.5610318229948e-05,"Outliers removed"
"178","CAD","ebi-a-GCST003116","CNTN5",42,-0.040103341969066,0.0182675841354389,0.0281400659062903,"All"
"179","CAD","ebi-a-GCST003116","CNTN5",41,-0.0483536366066145,0.0175430123541649,0.00584610669058578,"Outliers removed"
"180","CAD","ebi-a-GCST003116","COL18A1",42,0.0266713762949252,0.0198594737750959,0.179270294215281,"All"
"181","CAD","ebi-a-GCST003116","COL18A1",42,0.0266713762949252,0.0198594737750959,0.179270294215281,"Outliers removed"
"182","CAD","ebi-a-GCST003116","COL4A1",42,0.00159703142788685,0.0203715566785418,0.937513724122923,"All"
"183","CAD","ebi-a-GCST003116","COL4A1",42,0.00159703142788685,0.0203715566785418,0.937513724122923,"Outliers removed"
"184","CAD","ebi-a-GCST003116","CPA1",42,0.0129443825458942,0.0212568868951388,0.542557541427573,"All"
"185","CAD","ebi-a-GCST003116","CPA1",41,0.018488691042164,0.0201015828555414,0.357696651294689,"Outliers removed"
"186","CAD","ebi-a-GCST003116","CPB1",42,0.0175585366659293,0.0212505743413346,0.408655628418266,"All"
"187","CAD","ebi-a-GCST003116","CPB1",40,0.0153657328022865,0.0186733877894785,0.410583075926045,"Outliers removed"
"188","CAD","ebi-a-GCST003116","CPE",42,-0.0345639789232828,0.0258639794877607,0.181426691340646,"All"
"189","CAD","ebi-a-GCST003116","CPE",41,-0.0159189616095878,0.015900013056362,0.316734123039269,"Outliers removed"
